unit_ID,cycle,dl_rul_raw,dl_rul
65,34,110.5,110.5
65,35,110.6,110.5
65,59,111.4,110.5
65,91,117.9,110.5
65,133,112.7,110.5
65,170,103.6,103.6
65,281,50.4,50.4
65,302,38.9,38.9
65,303,40.5,38.9
65,306,50.7,38.9
65,307,51.4,38.9
65,314,38.1,38.1
65,318,38.1,38.1
65,320,41.1,38.1
65,321,37.3,37.3
65,324,33.7,33.7
65,328,22.7,22.7
65,330,21.2,21.2
65,334,16.1,16.1
65,335,17.2,16.1
65,338,18.0,16.1
65,339,20.2,16.1
65,340,20.3,16.1
65,341,16.3,16.1
65,342,16.7,16.1
65,343,15.2,15.2
65,344,16.7,15.2
65,345,16.5,15.2
65,346,12.8,12.8
65,347,8.2,8.2
65,348,6.2,6.2
65,349,5.1,5.1
65,350,2.0,2.0
65,351,4.0,2.0
65,352,6.8,2.0
65,353,8.0,2.0
65,354,6.3,2.0
65,355,6.2,2.0
65,356,8.9,2.0
65,357,8.3,2.0
65,358,5.5,2.0
65,359,3.8,2.0
65,360,0.0,0.0
65,361,2.0,0.0
65,362,3.1,0.0
65,363,4.0,0.0
65,364,5.2,0.0
65,365,5.7,0.0
65,366,6.5,0.0
65,367,8.4,0.0
103,182,6.7,6.7
103,183,7.3,6.7
103,185,0.8,0.8
103,186,2.9,0.8
110,2,117.0,117.0
110,25,121.2,117.0
110,64,120.3,117.0
131,57,117.2,117.2
135,2,123.0,123.0
135,20,120.0,120.0
135,22,119.1,119.1
135,29,121.8,119.1
135,33,120.8,119.1
135,36,119.6,119.1
135,43,121.1,119.1
135,57,119.1,119.1
135,74,118.4,118.4
209,4,122.5,122.5
209,13,124.3,122.5
209,23,117.9,117.9
209,35,116.5,116.5
222,11,119.5,119.5
245,235,29.8,29.8
245,238,27.7,27.7
245,241,27.6,27.6
245,243,26.8,26.8
245,247,19.1,19.1
245,249,14.8,14.8
245,255,13.7,13.7
245,256,13.2,13.2
245,257,12.4,12.4
245,258,13.2,12.4
245,259,12.6,12.4
245,260,11.9,11.9
245,261,13.8,11.9
245,262,15.2,11.9
245,263,14.6,11.9
245,264,14.9,11.9
245,265,13.4,11.9
