unit_ID,cycle,dl_rul_raw,dl_rul
65,34,110.5,110.5
65,35,110.5,110.5
65,59,110.5,110.5
65,91,110.5,110.5
65,133,110.5,110.5
65,170,103.6,103.6
65,281,50.4,50.4
65,302,38.9,38.9
65,303,38.9,38.9
65,306,38.9,38.9
65,307,38.9,38.9
65,314,38.1,38.1
65,318,38.1,38.1
65,320,38.1,38.1
65,321,37.3,37.3
65,324,33.7,33.7
65,328,22.7,22.7
65,330,21.2,21.2
65,334,16.1,16.1
65,335,16.1,16.1
65,338,16.1,16.1
65,339,16.1,16.1
65,340,16.1,16.1
65,341,16.1,16.1
65,342,16.1,16.1
65,343,15.2,15.2
65,344,15.2,15.2
65,345,15.2,15.2
65,346,12.8,12.8
65,347,8.2,8.2
65,348,6.2,6.2
65,349,5.1,5.1
65,350,2.0,2.0
65,351,2.0,2.0
65,352,2.0,2.0
65,353,2.0,2.0
65,354,2.0,2.0
65,355,2.0,2.0
65,356,2.0,2.0
65,357,2.0,2.0
65,358,2.0,2.0
65,359,2.0,2.0
65,360,0.0,0.0
65,361,0.0,0.0
65,362,0.0,0.0
65,363,0.0,0.0
65,364,0.0,0.0
65,365,0.0,0.0
65,366,0.0,0.0
65,367,0.0,0.0
103,182,6.7,6.7
103,183,6.7,6.7
103,185,0.8,0.8
103,186,0.8,0.8
110,2,117.0,117.0
110,25,117.0,117.0
110,64,117.0,117.0
131,57,117.2,117.2
135,2,123.0,123.0
135,20,120.0,120.0
135,22,119.1,119.1
135,29,119.1,119.1
135,33,119.1,119.1
135,36,119.1,119.1
135,43,119.1,119.1
135,57,119.1,119.1
135,74,118.4,118.4
209,4,122.5,122.5
209,13,122.5,122.5
209,23,117.9,117.9
209,35,116.5,116.5
222,11,119.5,119.5
245,235,29.8,29.8
245,238,27.7,27.7
245,241,27.6,27.6
245,243,26.8,26.8
245,247,19.1,19.1
245,249,14.8,14.8
245,255,13.7,13.7
245,256,13.2,13.2
245,257,12.4,12.4
245,258,12.4,12.4
245,259,12.4,12.4
245,260,11.9,11.9
245,261,11.9,11.9
245,262,11.9,11.9
245,263,11.9,11.9
245,264,11.9,11.9
245,265,11.9,11.9
