qid,arm,unit,cycle,true_rul,dl_hint,rul_pred_raw,rul_pred,mono_violation,mono_viol_size,dl_used,steps,json_valid,rul_err,rul_abs_err,s_score,range_coverage,range_width,trend_n,trend_direction_acc,outlook_real,outlook_pred,outlook_acc,n_trend_detail
T65c34,P7_agent_dl,65,34,125.0,110.5,45.0,45.0,0,0.0,,,1.0,-80.0,80.0,469.52,0.0,26.0,5.0,0.8,steady,accelerating,0.0,5
T65c35,P7_agent_dl,65,35,125.0,110.5,35.0,35.0,0,0.0,,,1.0,-90.0,90.0,1014.44,0.0,28.0,5.0,0.0,sporadic,accelerating,0.0,5
T65c59,P7_agent_dl,65,59,125.0,110.5,5.0,5.0,0,0.0,,,1.0,-120.0,120.0,10205.39,0.0,11.0,4.0,0.25,sporadic,accelerating,0.0,4
T65c91,P7_agent_dl,65,91,125.0,110.5,15.0,5.0,1,10.0,,,1.0,-120.0,120.0,10205.39,0.0,19.0,3.0,0.3333333333333333,sporadic,accelerating,0.0,3
T65c133,P7_agent_dl,65,133,125.0,110.5,10.0,5.0,1,5.0,,,1.0,-120.0,120.0,10205.39,0.0,12.0,3.0,0.3333333333333333,steady,accelerating,0.0,3
T65c170,P7_agent_dl,65,170,125.0,103.6,10.0,5.0,1,5.0,,,1.0,-120.0,120.0,10205.39,0.0,12.0,3.0,1.0,sporadic,accelerating,0.0,3
T65c281,P7_agent_dl,65,281,97.0,50.4,5.0,5.0,0,0.0,,,1.0,-92.0,92.0,1183.32,0.0,10.0,5.0,0.0,accelerating,accelerating,1.0,5
T65c302,P7_agent_dl,65,302,76.0,38.9,12.0,5.0,1,7.0,,,1.0,-71.0,71.0,234.46,0.0,15.0,4.0,0.0,accelerating,accelerating,1.0,4
T65c303,P7_agent_dl,65,303,75.0,38.9,25.0,5.0,1,20.0,,,1.0,-70.0,70.0,217.03,0.0,10.0,3.0,0.0,accelerating,accelerating,1.0,3
T65c306,P7_agent_dl,65,306,72.0,38.9,22.0,5.0,1,17.0,,,1.0,-67.0,67.0,172.1,0.0,24.0,3.0,0.3333333333333333,accelerating,accelerating,1.0,3
T65c307,P7_agent_dl,65,307,71.0,38.9,28.0,5.0,1,23.0,,,1.0,-66.0,66.0,159.28,0.0,28.0,3.0,0.3333333333333333,accelerating,accelerating,1.0,3
T65c314,P7_agent_dl,65,314,64.0,38.1,30.0,5.0,1,25.0,,,1.0,-59.0,59.0,92.55,0.0,25.0,5.0,0.2,accelerating,accelerating,1.0,5
T65c318,P7_agent_dl,65,318,60.0,38.1,40.0,5.0,1,35.0,,,1.0,-55.0,55.0,67.77,1.0,125.0,3.0,0.6666666666666666,accelerating,accelerating,1.0,3
T65c320,P7_agent_dl,65,320,58.0,38.1,15.0,5.0,1,10.0,,,1.0,-53.0,53.0,57.96,0.0,25.0,3.0,0.0,accelerating,accelerating,1.0,3
T65c321,P7_agent_dl,65,321,57.0,37.3,8.0,5.0,1,3.0,,,1.0,-52.0,52.0,53.6,0.0,12.0,3.0,0.6666666666666666,accelerating,accelerating,1.0,3
T65c324,P7_agent_dl,65,324,54.0,33.7,15.0,5.0,1,10.0,,,1.0,-49.0,49.0,42.35,0.0,28.0,5.0,0.0,accelerating,accelerating,1.0,5
T65c328,P7_agent_dl,65,328,50.0,22.7,10.0,5.0,1,5.0,,,1.0,-45.0,45.0,30.87,0.0,12.0,6.0,0.0,accelerating,accelerating,1.0,6
T65c330,P7_agent_dl,65,330,48.0,21.2,10.0,5.0,1,5.0,,,1.0,-43.0,43.0,26.32,0.0,12.0,6.0,0.5,accelerating,accelerating,1.0,6
T65c334,P7_agent_dl,65,334,44.0,16.1,8.0,5.0,1,3.0,,,1.0,-39.0,39.0,19.09,0.0,12.0,3.0,0.6666666666666666,accelerating,accelerating,1.0,3
T65c335,P7_agent_dl,65,335,43.0,16.1,5.0,5.0,0,0.0,,,1.0,-38.0,38.0,17.6,0.0,12.0,4.0,0.0,accelerating,accelerating,1.0,4
T65c338,P7_agent_dl,65,338,40.0,16.1,20.0,5.0,1,15.0,,,1.0,-35.0,35.0,13.77,0.0,10.0,4.0,0.5,accelerating,accelerating,1.0,4
T65c339,P7_agent_dl,65,339,39.0,16.1,15.0,5.0,1,10.0,,,1.0,-34.0,34.0,12.67,0.0,25.0,5.0,0.8,accelerating,accelerating,1.0,5
T65c340,P7_agent_dl,65,340,38.0,16.1,15.0,5.0,1,10.0,,,1.0,-33.0,33.0,11.66,0.0,19.0,6.0,0.8333333333333334,accelerating,accelerating,1.0,6
T65c341,P7_agent_dl,65,341,37.0,16.1,20.0,5.0,1,15.0,,,1.0,-32.0,32.0,10.72,0.0,10.0,3.0,0.6666666666666666,accelerating,accelerating,1.0,3
T65c342,P7_agent_dl,65,342,36.0,16.1,20.0,5.0,1,15.0,,,1.0,-31.0,31.0,9.85,0.0,28.0,3.0,0.6666666666666666,accelerating,accelerating,1.0,3
T65c343,P7_agent_dl,65,343,35.0,15.2,15.0,5.0,1,10.0,,,1.0,-30.0,30.0,9.05,0.0,25.0,3.0,1.0,accelerating,accelerating,1.0,3
T65c344,P7_agent_dl,65,344,34.0,15.2,15.0,5.0,1,10.0,,,1.0,-29.0,29.0,8.31,0.0,28.0,4.0,0.75,accelerating,accelerating,1.0,4
T65c345,P7_agent_dl,65,345,33.0,15.2,11.0,5.0,1,6.0,,,1.0,-28.0,28.0,7.62,0.0,12.0,6.0,0.8333333333333334,accelerating,accelerating,1.0,6
T65c346,P7_agent_dl,65,346,32.0,12.8,8.0,5.0,1,3.0,,,1.0,-27.0,27.0,6.98,0.0,10.0,6.0,0.5,accelerating,accelerating,1.0,6
T65c347,P7_agent_dl,65,347,31.0,8.2,28.0,5.0,1,23.0,,,1.0,-26.0,26.0,6.39,0.0,28.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c348,P7_agent_dl,65,348,30.0,6.2,8.0,5.0,1,3.0,,,1.0,-25.0,25.0,5.84,0.0,11.0,3.0,0.3333333333333333,accelerating,accelerating,1.0,3
T65c349,P7_agent_dl,65,349,29.0,5.1,10.0,5.0,1,5.0,,,1.0,-24.0,24.0,5.34,0.0,12.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c350,P7_agent_dl,65,350,28.0,2.0,20.0,5.0,1,15.0,,,1.0,-23.0,23.0,4.87,1.0,19.0,4.0,0.0,accelerating,accelerating,1.0,4
T65c351,P7_agent_dl,65,351,27.0,2.0,8.0,5.0,1,3.0,,,1.0,-22.0,22.0,4.43,0.0,12.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c352,P7_agent_dl,65,352,26.0,2.0,8.0,5.0,1,3.0,,,1.0,-21.0,21.0,4.03,1.0,28.0,5.0,0.4,accelerating,accelerating,1.0,5
T65c353,P7_agent_dl,65,353,25.0,2.0,5.0,5.0,0,0.0,,,1.0,-20.0,20.0,3.66,0.0,8.0,2.0,1.0,accelerating,accelerating,1.0,2
T65c354,P7_agent_dl,65,354,24.0,2.0,20.0,5.0,1,15.0,,,1.0,-19.0,19.0,3.31,1.0,10.0,2.0,1.0,accelerating,accelerating,1.0,2
T65c355,P7_agent_dl,65,355,23.0,2.0,15.0,5.0,1,10.0,,,1.0,-18.0,18.0,2.99,0.0,10.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c356,P7_agent_dl,65,356,22.0,2.0,10.0,5.0,1,5.0,,,1.0,-17.0,17.0,2.7,0.0,14.0,2.0,1.0,accelerating,accelerating,1.0,2
T65c357,P7_agent_dl,65,357,21.0,2.0,10.0,5.0,1,5.0,,,1.0,-16.0,16.0,2.42,0.0,12.0,4.0,0.25,accelerating,accelerating,1.0,4
T65c358,P7_agent_dl,65,358,20.0,2.0,20.0,5.0,1,15.0,,,1.0,-15.0,15.0,2.17,1.0,29.0,6.0,0.0,accelerating,accelerating,1.0,6
T65c359,P7_agent_dl,65,359,19.0,2.0,10.0,5.0,1,5.0,,,1.0,-14.0,14.0,1.94,1.0,20.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c360,P7_agent_dl,65,360,18.0,0.0,10.0,5.0,1,5.0,,,1.0,-13.0,13.0,1.72,0.0,12.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c361,P7_agent_dl,65,361,17.0,0.0,20.0,5.0,1,15.0,,,1.0,-12.0,12.0,1.52,1.0,29.0,2.0,0.0,accelerating,accelerating,1.0,2
