qid,arm,unit,cycle,true_rul,dl_hint,rul_pred_raw,rul_pred,mono_violation,mono_viol_size,dl_used,steps,json_valid,rul_err,rul_abs_err,s_score,range_coverage,range_width,trend_n,trend_direction_acc,outlook_real,outlook_pred,outlook_acc,n_trend_detail
T65c34,P7_agent,65,34,125.0,119.9,100.0,100.0,0,0.0,False,4.0,1.0,-25.0,25.0,5.84,0.0,20.0,2.0,0.5,steady,accelerating,0.0,2
T65c35,P7_agent,65,35,125.0,118.9,115.0,100.0,1,15.0,False,4.0,1.0,-25.0,25.0,5.84,0.0,10.0,2.0,0.5,sporadic,accelerating,0.0,2
T65c59,P7_agent,65,59,125.0,94.9,100.0,100.0,0,0.0,False,4.0,1.0,-25.0,25.0,5.84,0.0,20.0,2.0,0.0,sporadic,accelerating,0.0,2
T65c91,P7_agent,65,91,125.0,62.9,68.0,68.0,0,0.0,False,4.0,1.0,-57.0,57.0,79.21,1.0,25.0,2.0,0.0,sporadic,accelerating,0.0,2
T65c133,P7_agent,65,133,125.0,20.9,80.0,68.0,1,12.0,False,4.0,1.0,-57.0,57.0,79.21,1.0,57.0,2.0,0.0,steady,accelerating,0.0,2
T65c170,P7_agent,65,170,125.0,0.0,43.0,43.0,0,0.0,False,4.0,1.0,-82.0,82.0,547.78,1.0,45.0,2.0,1.0,sporadic,accelerating,0.0,2
T65c281,P7_agent,65,281,97.0,0.0,125.0,43.0,1,82.0,False,4.0,1.0,-54.0,54.0,62.68,1.0,82.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c302,P7_agent,65,302,76.0,0.0,104.0,43.0,1,61.0,False,4.0,1.0,-33.0,33.0,11.66,0.0,20.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c303,P7_agent,65,303,75.0,0.0,103.0,43.0,1,60.0,False,4.0,1.0,-32.0,32.0,10.72,0.0,21.0,1.0,0.0,accelerating,accelerating,1.0,1
T65c306,P7_agent,65,306,72.0,0.0,100.0,43.0,1,57.0,False,4.0,1.0,-29.0,29.0,8.31,0.0,40.0,1.0,1.0,accelerating,accelerating,1.0,1
T65c307,P7_agent,65,307,71.0,0.0,115.0,43.0,1,72.0,False,4.0,1.0,-28.0,28.0,7.62,0.0,25.0,2.0,0.0,accelerating,accelerating,1.0,2
